,negative_reviews
0,"Relatively basic, however it is great value for money. It provided everything I needed and had no complaints. Old fashioned building which I liked very much."
1,"The hotel is very dated with yellow staining on some tiles and cracked wallpaper....very ""old San Francisco"" feel to it. Our view was out the fire escape - not great for visiting from out of town. Be prepared to pay between 20 and 40+ a night for the ""valet"" parking near by."
2,Very old water pipes which made noises during the night.
3,"Breakfast was rubbish.... two types of flakes with coffee and a few buns and pastries. no orange juice, paper plates and bowls, plastic cutlery etc. nothing Hot."
4,The toilet is too low to the floor
5,"Staff was not very friendly or helpful. The woman who checked us in seemed very put out to have to do work, and was very very slow, and complained about people not listening to her. If you’re checking in, be prepared for it to take a while. She also rudely yelled at another guest who was checking out."
6,States that there is a fitness center. There is no fitness center for an avid gym goer.
7,The breakfast was very scant and the hotel seemed very run down
8,"The room itself was a bit dated, and the heater made a ticking noise sometimes. You could hear the other guests slightly through the walls. The breakfast was very basic and not extremely fulfilling."
9,The breakfast was pretty basic but ok.
10,There was no kettle in the room  and the shower was hard to get the right temperature.
11,Breakfast
12,You can hear all the noise through the wall and the door!
13,Heating is too much
14,"My room, 112, was a bit noisy due to a machine right outside the bathroom window that ran all night."
15,Were strict on guests. Should display that information up front.
16,"While the weather for San Francisco was unusually warm and beautiful, our room was on the 7th floor and quite warm.  The box fan helped, but only stirred the warm air.  The shower controls were a challenge to use.  Hard to adjust for good temperature."
17,"The walls are very thin. You can hear even small noises from the next door. 
I expected it as it is an old building, though.
The fact I stayed ain an unit at the end of the hall helped a bit 
No central heating unit. I can't remember when was the last time I stayed at a hotel with a radiator in a room. 
Transportation to the airport - I booked the shuttle but they were late. Waited 20 minutes and they didn't show up."
18,Hotel is quite noisy and you can hear movement in the hallway and room above you. Breakfast is very basic but sufficient. The coffee was terrible.
19,"The free breakfast was disappointing, no honey or lemon if you wanted tea. My husband and I were still very hungry afterwards and had to go out for breakfast."
20,Bathroom door was very difficult to slide closed; couldn't control the room temperature and it became hot in the morning; shower door was difficult to close; the beds were tiny and not very firm.
21,"I think for the price, it’s an excellent value. The rooms are older and nothing fancy, but that’s fine with me. It was clean and you can’t beat it for the location."
22,Shower needed a little work.
23,Rooms can be a bit small and feel stuffy but honestly for the price this is better than expected
24,"The hotel is very old - it is a blessing and a curse at the same time. Old windows are not soundproof, so some rooms can be quite noisy because the air handlers outside are running at full blast 24/7. But my wife liked the rustic furniture and the entire setup. Will come back when we are in SF next time."
25,"As you would suspect, at the price point the room is in need of updating.  This did not bother me at all, I would definitely stay at this hotel again when traveling solo.  I would probably choose another hotel if I was traveling with a significant other."
26,Breakfast
27,Breakfast was boring. Just same pastries & cold croissants. No coffee & tea maker in the room.
28,Would like tea/coffee making facility in room.
29,Room is a bit old so the floor lining starts to come off. Sound proof is not so good. Breakfast is poor.
30,Small room
31,I liked the Colonial decor but in places it looked tired. New paint might give it a lift.
32,It’s old and breakfast is poor
33,"The room would benefit from some renovation! The small bathroom is in working conditions but shows its age, as does the room (e.g. the ancient sash window). But this did not disturb us."
34,"Room was super small , the heater was loud and we must have been by a utility closet or something."
35,Smells weird and breakfast is very limited
36,Lobby and bathrooms need updating. Breakfast was weak.
37,The lack of variety in the breakfast offered
38,Room and bathroom way too small
39,"The furniture was very dated. When people were smoking downstairs, it came up through our bathroom windows which was rather unpleasant. The electrical sockets were dangerous - both in our room and public areas of the hotel. Many weren’t properly affixed to the walls, some had tape to hold them in place. Disappointing that I had to go downstairs wet, to ask for a hairdryer. Also, a pity the bar wasn’t open before 5pm because we would have spent more money there!"
40,"It’s very noisy, you can hear everything outside the window and even more through the walls, sometimes it sounded as if our neighbours were in our room"
41,The Valet Parking was a treat but way too expensive.  It really was almost a third of the cost of the actual room!
42,Other tan chem in nothing
43,"The rooms don't have air conditioned, and not much clarity"
44,"Réception staff and waiter/bell boy at the breakfast room very rude. Very poor breakfast. Very plastic. Asking about fruits said... ""Tomorrow again fruits. Today finished"" and it was 8.30, breakfast ends at 10.00!!!  Asking about lemon for the tea... No lemons!!!
The room has a smell. Wifi... Up and down"
45,The place needs a serious renovation. Some power plugs in the room not working. Very basic breakfast.
46,"Decor was a bit tired, the hotel looked better in the photos"
47,"Very outdated, need hot breakfast options, new carpet, more outlets."
48,🛌 very old .. It needs a renovation right away. But very good located
49,"Unfortunately, and no fault of the Hotel, but this area is riddled with homeless people, some of who are quite aggressive and frightening.  Definitely not safe to wander back from a restaurant in the evening, even for two people.  I would not stay in the area again. Reception/check in staff were not friendly.No air-conditioning so had to open window for fresh air.  Street noise very loud so purchased ear buds."
50,Breakfast was a bit basic
51,The breakfast was VERY VERY basic and not what was expected.  The staff - if you could find them - did not seem to care about presentation.  The tables were not cleaned and the bins overflowing.
52,Some of the staff's attitude left a bit to be desired and they didn't appear to have been trained in public relations.   Others were helpful.
53,"Room was stuffy, breakfast was a bowl of cheerios and a muffin. Breakfast should have more variety. Beds uncomfortable"
54,Not sure of area for walking... probably went the wrong way ..away from union square which would have been safer
55,Breakfast menu is very limited only cereals and muffins with coffee no egg station or fresh fruits etc
56,"No savoury food a breakfastNo kettle in room option"
57,"No air con but do have huge fans.
It's s bit dated and old but it adds to the charm"
58,"There was one really rude, nasty desk person who seemed to have been at the desk most mornings (tall, thin man in his late 30's early 40's). When I would ask for advice he would refuse. Once I had problem with my Muni app (I didn't know how it worked) and he refused to help me. Outright refused. Luckily another guest came along and helped explain everything to me.Also my mattress was lumpy, perhaps it just need to be flipped but there was an indentation on one side."
59,"No a/c, however it was not needed while I stayed there, fortunately"
60,The customer care is just about good.
61,Shower was poor.
62,no hair dryer in the room had to get it from reception
63,"Breakfast was continental but I would have least expected toast, only a croissant or muffin was offered and I could not eat the cereal as I am lactose intolerant. There is no cooling, so I would not stay here in the summer."
64,Room near a wind vent being a bit noisy at night.
65,"The breakfast need to be improved , no even eggs no cheese"
66,"My window was broken, so I couldn't open it, and for the price it wasn't quite what I was expecting. I would stay again though, since no other hotel offered a rate I could afford!"
67,"Not very much choice at breakfast - no juice other than orange. Pub food was good, but not very extensive menu. I would have liked more sandwiches/snacks"
68,Breakfast ! Was basic
69,"No Air conditioning, The matress needs to be replaced. It was like sleeping in a gully or sink hole."
70,Parking is valet and $42 per night.
71,place slightly dated
72,Valet parking was 45 dollars a night but wasn't mentioned until we arrived. There's nowhere to park so you feel inclined to take it.
73,The breakfast was disappointing.
74,N/A
75,rooms were a little musty smelling but I just chalked it up to being an old building.
76,The room had an odor...I think it was coming from the mini fridge. No screen on window....facing noisy alley. The free breakfast all carbs. Would’ve liked some yogurt and fruit.
77,Bathroom needs updating!
78,"I wish there would have been more fruit options for breakfast, but you still had pastries and cereal."
79,"Hotel was beautiful, room was not very well ventilated and SF runs warm this time of year. The room did have standing fan but did not circulate. Slept with window wide open just no breeze to help us out."
80,No AC
81,"No TV, no hair dryer.  Small room, view only of roofs & walls of other bldgs."
82,"The room was hot and stuffy, and being right next to the elevator meant we could hear everytime someone went up or down."
83,Communal areas /carpets were dated
84,"No kettle in room 
pillows need to be changed"
85,Tea and coffee facilities in the room would have been good
86,"No a/c on a hot night, but box fan was great with open windows. Bathroom was dated, but worked fine."
87,Second day breakfast no fruit
88,"Very jaded and in need of some renovations 
Unless you got up at crack of dawn hardly any breakfast left"
89,"Breakfast decidedly ordinary. Limited selection and failure to replenish on our first occasion, although after mentioning to reception replenishment improved, but selection did not. Not everyone wants croissants or muffins for breakfast.Tv in rooms but rubbish picture. Waste of time watching it. No coffee machines in room even though there is a fridge. Staff were no able to provide an electric kettle for the rooms. Our first accommodation on the trip where this occurred.Concierge was a little aggressive in demanding tip."
90,The room was a little smaller than we expected and not air conditioned but there was a fan
91,The location could have been a little bit closer to powell st and market st
92,"Breakfast should be provided with bread, ham and cheese."
93,"It was warm and had to prop the window open with the ice bucket. They should serve coffee prior to the breakfast which starts at 7am. I'm an early riser and had to walk down the block to 7-11 to get a cup for us."
94,The room was a bit small for a family of adults and very warm.
95,Staff
96,"Parking was horrifically expensive for the night, so we instead parked on the street where we were warned cars are often broken into (fortunately, ours was fine). Also, all the staff at the front desk were somewhat rude and unhelpful, but nothing too terrible."
97,"Reception was a bit rundown, needs an update."
98,"Male attitude on reception 
Breakfast tray and coffee containers slow to be replaced"
99,In general the hotel met the expectations. The building is a little bit old and need some renovations in rooms.
100,"No ac, too hot, no window in the bathroom that can be fully closed, loud in the morning"
101,"Breakfast, mattress"
102,Breakfast had no variety. No hairdryer in room.
