,positive_reviews
0,"Location is great, short walk away Chinatown and Union Square. Pub on the ground floor. 24hr valet parking is available - location is a couple of blocks away but the car is collected from the hotel and brought back to you. Secure location. Mini bar provided in room."
1,"location more than made up for being outdated ...walking, trolley, and cable cars to many near by stores, shops, and attractions. The honor bar was semi reasonable in price and great variety....buuut ..there is a perfect little liquor store less then a minutes walk from the Hotel door."
2,Location
3,"Location was good in the Union square area, good local pub (not the one in the hotel) 100 yards away"
4,Location
5,Great location. We had our own bathroom. Staff very friendly and helpful. Able to store luggage for us until check-in. They stored our ski bags for us as well during our stay as we didn’t need them at this location.
6,Loved the stay great friendly an went above beyond to serve
7,location
8,"Very convenient location, walkable. Wine and beer in fridge very inexpensive. Good price for the area."
9,The antiquated feel.
10,The hotel is ok for that price.
11,The old style decor
12,The grand old hotel was perfectly old and clean . Check out the lighting in the hallways or the chairs in the lobby. Wonderful!!
13,The hotel is extremely centrally located and it's easy to get around. The staff was quite friendly - they offered free bottles of bubbles because we were there on New Years Eve. The bar on the ground floor was a nice touch - really styled like a British pub.
14,"The facility was not too bad really, room was comfortable and clean"
15,"Pleasantly surprised by this hotel. The location was fantastic. We walked to attractions most days ( be prepared for hills) three steep hills until you are on the downwards. The breakfast was basic but fine. Staff always willing to help and always greeted you. Room was larger than I was expecting and was clean . The room was cleaned every day. We only ate in the white horse ( pub attached to hotel where breakfast is served ) on the last day . Wished we ate there all week . Very good value and tasted really good only order one meal between two or even three. When I was asked about my holiday I have already recommended this hotel to anyone saying they would like to go to San Fransico"
16,"Location is great, couple of blocks from Union Sq. Hotel decor a bit dated but it was clean and quiet and comfortable. I would definitely stay again."
17,It would be nice to offer more fruit and maybe oatmeal packets.
18,"Worthy price for San francisco. 
Safe, good location, clean, kind staffs."
19,Location
20,"The location and cleanliness are great and the bed was comfortable.  The continental breakfast  met my expectations, with breads, cereal, fruit and juice."
21,"Great location!  Room had 2 beds which made it nice for me and my friend.  Continental breakfast provided.  Lots nearby to see and do, close to restaurants."
22,"Location, it was a good value; knowing how crazy expensive the hotels are in SF.
Water pressure, Surprisingly the shower had a good water pressure.
Well stocked fridge and very reasonably set pricing on those.
Mattress was quite comfortable."
23,Great value for money based on what we paid. Location exceptional. Staff was very friendly and helpful. Hotel was clean and looked after even though it's an old building.
24,"I liked the charm of this historical hotel, they had a fully stocked mini-fridge and charged you fairly if you took something out."
25,"Good location, close to the BART station, and priced reasonably. The hotel bar was quaint and stayed open late."
26,It’s a charming old hotel in an excellent location with helpful staff.
27,Everyone was very courteous.
28,"Great price for the location, convenient setting and helpful staff"
29,"Convenient location near Union Square in San Francisco, CA. Close to the shopping malls, Moscone Convention Center, and the Bay area. Public transportation is perfect in SF, can get you anywhere within minutes."
30,"The hotel is in a great location.  Central to everything.  The staff was friendly, warm, and helpful.I was traveling for work so the room was fine for me, I was only there to sleep.  Bathroom was dated but everything worked. Note - not all rooms have tubs, so if you want a tub, be sure to request it."
31,Location
32,"Within walking distance to many shops, malls, cafes & restaurants"
33,Liked the convenience to the city and the continental breakfast.
