,Rating,Name,Country,Overall_review,Review_times,Review_date,Review_tags,Subjectivity,Polarity,Analysis
0,8.0,Ryan,United Kingdom,Very Good,2,2020-04-27,"Leisure trip, Solo traveler, Queen Room, Stayed 6 nights",0.7800000000000001,0.9099999999999999,Positive
1,7.0,Myth,United States of America,Old but great location!,2,2020-04-07,"Couple, Queen Room, Stayed 1 night, Submitted from a mobile device",0.475,0.55,Positive
2,6.0,Mandy,New Zealand,Good value for money and great for one night’s stay.,20,2020-03-24,"Leisure trip, Couple, Queen Room, Stayed 2 nights, Submitted from a mobile device",0.675,0.75,Positive
3,6.0,Twyford,United Kingdom,Old hotel with small rooms and old decor. inclusive breakfast not worth having! would not stay there,7,2020-03-21,"Leisure trip, Group, Twin Room with Two Twin Beds, Stayed 3 nights",0.225,-0.059375,Negative
4,8.0,Eric,United States of America,Very Good,1,2020-03-21,"Business trip, Solo traveler, Twin Room with Two Twin Beds, Stayed 1 night, Submitted from a mobile device",0.7800000000000001,0.9099999999999999,Positive
5,8.0,Kathleen,Australia,Fun times. Great memories.,2,2020-03-18,"Leisure trip, Couple, Twin Room with Two Twin Beds, Stayed 2 nights, Submitted from a mobile device",0.475,0.55,Positive
6,7.0,Tod,United States of America,Great.,1,2020-03-14,"Leisure trip, Couple, Queen Room, Stayed 1 night, Submitted from a mobile device",0.75,0.8,Positive
7,6.0,Lyn,New Zealand,Pleasant,9,2020-03-12,"Business trip, Solo traveler, Queen Room, Stayed 5 nights",0.9666666666666667,0.7333333333333333,Positive
8,7.0,Kelly,United States of America,"Great location, unfriendly staff.",6,2020-03-12,"Leisure trip, Couple, Queen Room, Stayed 1 night, Submitted from a mobile device",0.75,0.8,Positive
9,7.0,Luis,United States of America,"Nice, But Old",1,2020-03-12,"Leisure trip, Solo traveler, Double Room with Two Double Beds, Stayed 3 nights, Submitted from a mobile device",0.6,0.35,Positive
10,8.0,Lukasz,Poland,Very Good,84,2020-03-11,"Leisure trip, Couple, Queen Room, Stayed 3 nights, Submitted from a mobile device",0.7800000000000001,0.9099999999999999,Positive
11,7.0,Mary,United States of America,Jusr ok,1,2020-03-11,"Leisure trip, Group, Twin Room with Two Twin Beds, Stayed 3 nights, Submitted from a mobile device",0.5,0.5,Positive
12,8.0,Jana,Canada,Very Good,1,2020-03-10,"Leisure trip, Group, Queen Room, Stayed 1 night, Submitted from a mobile device",0.7800000000000001,0.9099999999999999,Positive
13,7.0,Debstertravel,Netherlands,"Decent hotel, very centrally located.",9,2020-03-06,"Leisure trip, Couple, Queen Room, Stayed 4 nights",0.49583333333333335,0.08333333333333333,Positive
14,6.0,Mark,United States of America,Pleasant,2,2020-03-06,"Business trip, Solo traveler, Queen Room, Stayed 1 night",0.9666666666666667,0.7333333333333333,Positive
15,8.0,Susan,United Kingdom,I would definitely recommend the hotel to anyone.,1,2020-03-05,"Leisure trip, Group, Double Room with Two Double Beds, Stayed 7 nights",0.5,0.0,Neutral
16,7.0,Trevor,United Kingdom,Great location at the right price,3,2020-03-03,"Business trip, Solo traveler, Twin Room with Two Twin Beds, Stayed 6 nights",0.6428571428571428,0.5428571428571429,Positive
17,8.0,Caroline,United States of America,Comfortable stay,10,2020-03-02,"Leisure trip, Family with young children, Queen Room, Stayed 2 nights",0.8,0.4,Positive
18,7.5,Azusa,Japan,Good,1,2020-03-02,"Business trip, Solo traveler, Double Room with Two Double Beds, Stayed 4 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
19,7.0,Annabelle,Canada,It was good,4,2020-03-01,"Leisure trip, Group, Double Room with Two Double Beds, Stayed 1 night, Submitted from a mobile device",0.6000000000000001,0.7,Positive
20,6.0,Mary,United States of America,Good location,13,2020-03-01,"Leisure trip, Solo traveler, Twin Room with Two Twin Beds, Stayed 1 night",0.6000000000000001,0.7,Positive
21,7.1,Yaritza,United States of America,Good,5,2020-03-01,"Leisure trip, Travelers with friends, Double Room with Two Double Beds, Stayed 1 night, Submitted from a mobile device",0.6000000000000001,0.7,Positive
22,8.0,Judith,United States of America,We had a great time and the room was fine for us.,4,2020-03-01,"Leisure trip, Group, Twin Room with Two Twin Beds, Stayed 2 nights, Submitted from a mobile device",0.625,0.6083333333333334,Positive
